Year,Month,DON_OPO,CAS_Period,DCD,Total_Donors,Used_Donors,Utilization_Rate,DCU_Rate
2018,1,ALOB,Pre-CAS,0.0,10,2.0,0.2,1.0
2018,1,AROR,Pre-CAS,0.0,5,4.0,0.8,0.0
2018,1,AZOB,Pre-CAS,0.0,14,3.0,0.21428571428571427,0.0
2018,1,AZOB,Pre-CAS,1.0,10,0.0,0.0,0.0
2018,1,CADN,Pre-CAS,0.0,25,4.0,0.16,1.0
2018,1,CADN,Pre-CAS,1.0,5,0.0,0.0,1.0
2018,1,CAGS,Pre-CAS,0.0,5,1.0,0.2,0.0
2018,1,CAGS,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,1,CAOP,Pre-CAS,0.0,39,7.0,0.1794871794871795,0.0
2018,1,CAOP,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,1,CASD,Pre-CAS,0.0,5,1.0,0.2,0.0
2018,1,CASD,Pre-CAS,1.0,3,0.0,0.0,0.0
2018,1,CORS,Pre-CAS,0.0,8,1.0,0.125,1.0
2018,1,CORS,Pre-CAS,1.0,6,0.0,0.0,1.0
2018,1,DCTC,Pre-CAS,0.0,7,3.0,0.42857142857142855,0.0
2018,1,DCTC,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,1,FLFH,Pre-CAS,0.0,13,2.0,0.15384615384615385,0.0
2018,1,FLMP,Pre-CAS,0.0,18,4.0,0.2222222222222222,0.0
2018,1,FLMP,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,1,FLUF,Pre-CAS,0.0,10,1.0,0.1,0.0
2018,1,FLUF,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,1,FLWC,Pre-CAS,0.0,14,3.0,0.21428571428571427,0.0
2018,1,FLWC,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,1,GALL,Pre-CAS,0.0,26,3.0,0.11538461538461539,0.0
2018,1,GALL,Pre-CAS,1.0,3,0.0,0.0,0.0
2018,1,HIOP,Pre-CAS,0.0,1,0.0,0.0,0.0
2018,1,HIOP,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,1,IAOP,Pre-CAS,0.0,3,1.0,0.3333333333333333,0.0
2018,1,IAOP,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,1,ILIP,Pre-CAS,0.0,23,6.0,0.2608695652173913,0.0
2018,1,ILIP,Pre-CAS,1.0,7,0.0,0.0,0.0
2018,1,INOP,Pre-CAS,0.0,6,3.0,0.5,0.0
2018,1,INOP,Pre-CAS,1.0,2,1.0,0.5,0.0
2018,1,KYDA,Pre-CAS,0.0,5,2.0,0.4,0.0
2018,1,LAOP,Pre-CAS,0.0,14,5.0,0.35714285714285715,0.0
2018,1,LAOP,Pre-CAS,1.0,1,0.0,0.0,0.0
