Year,Month,OPO,OPO_Zip,OPO_Lat,OPO_Lon,Center,Center_Zip,Center_Lat,Center_Lon,Count,DCU_Rate
2018,2,INOP,46222,39.789,-86.2136,PAPT,15213,40.444,-79.9552,1,0.0
2018,2,KYDA,40223,38.2651,-85.5582,INIM,46202,39.7851,-86.1595,1,0.0
2018,2,LAOP,70433,30.4876,-90.0959,LAOF,70121,29.9614,-90.1577,1,0.0
2018,2,LAOP,70433,30.4876,-90.0959,MAPB,02115,42.3427,-71.0922,1,0.0
2018,2,LAOP,70433,30.4876,-90.0959,MNUM,55454,44.9682,-93.2429,1,0.0
2018,2,LAOP,70433,30.4876,-90.0959,TXHI,77030,29.7041,-95.401,1,0.0
2018,2,MAOB,02451,42.3986,-71.2451,MAMG,02114,42.3611,-71.0682,1,0.0
2018,2,MAOB,02451,42.3986,-71.2451,MAPB,02115,42.3427,-71.0922,3,0.0
2018,2,MAOB,02451,42.3986,-71.2451,NJBI,07112,40.7107,-74.2131,1,0.0
2018,2,MAOB,02451,42.3986,-71.2451,NYCP,10032,40.8382,-73.942,1,0.0
2018,2,MAOB,02451,42.3986,-71.2451,NYMA,10467,40.8737,-73.8712,1,0.0
2018,2,MAOB,02451,42.3986,-71.2451,PATU,19140,40.0118,-75.1456,1,0.0
2018,2,MDPC,21227,39.2309,-76.6969,MDUM,21201,39.2946,-76.6252,2,0.0
2018,2,MDPC,21227,39.2309,-76.6969,NCDU,27710,36.0512,-78.8577,1,0.0
2018,2,MDPC,21227,39.2309,-76.6969,NYCP,10032,40.8382,-73.942,3,0.0
2018,2,MDPC,21227,39.2309,-76.6969,NYUC,10016,40.7443,-73.9781,1,0.0
2018,2,MDPC,21227,39.2309,-76.6969,PAPT,15213,40.444,-79.9552,1,0.0
2018,2,MDPC,21227,39.2309,-76.6969,PAUP,19104,39.9597,-75.2024,2,0.0
2018,2,MIOP,48108,42.2328,-83.7015,ILLU,60141,41.8623,-87.8355,1,1.0
2018,2,MIOP,48108,42.2328,-83.7015,INIM,46202,39.7851,-86.1595,1,1.0
2018,2,MIOP,48108,42.2328,-83.7015,MIHF,48202,42.377,-83.0796,4,1.0
2018,2,MIOP,48108,42.2328,-83.7015,MISH,49503,42.9659,-85.6527,1,1.0
2018,2,MIOP,48108,42.2328,-83.7015,MIUM,48109,42.2776,-83.7409,2,1.0
2018,2,MIOP,48108,42.2328,-83.7015,OHCC,44195,41.6857,-81.6728,1,1.0
2018,2,MIOP,48108,42.2328,-83.7015,PAPT,15213,40.444,-79.9552,3,1.0
2018,2,MNOP,55411,44.9996,-93.3005,COUC,80045,39.7467,-104.8384,2,0.0
2018,2,MNOP,55411,44.9996,-93.3005,MNUM,55454,44.9682,-93.2429,1,0.0
2018,2,MOMA,63110,38.6185,-90.2564,ILUC,60637,41.7813,-87.6051,1,1.0
2018,2,MOMA,63110,38.6185,-90.2564,INIM,46202,39.7851,-86.1595,1,1.0
2018,2,MOMA,63110,38.6185,-90.2564,MOBH,63110,38.6185,-90.2564,1,1.0
2018,2,MSOP,39232,32.3299,-90.0915,TXMH,77030,29.7041,-95.401,1,1.0
2018,2,MWOB,66205,39.0278,-94.6558,ILCH,60453,41.7143,-87.7516,1,0.0
2018,2,MWOB,66205,39.0278,-94.6558,INIM,46202,39.7851,-86.1595,3,0.0
2018,2,MWOB,66205,39.0278,-94.6558,MOBH,63110,38.6185,-90.2564,1,0.0
2018,2,NCCM,28211,35.1677,-80.7932,MOBH,63110,38.6185,-90.2564,1,0.0
2018,2,NCNC,27858,35.5866,-77.3485,MDJH,21287,39.2975,-76.5927,1,0.0
2018,2,NCNC,27858,35.5866,-77.3485,NCDU,27710,36.0512,-78.8577,1,0.0
2018,2,NJTO,07974,40.7004,-74.4023,MAPB,02115,42.3427,-71.0922,1,0.0
2018,2,NJTO,07974,40.7004,-74.4023,NYCP,10032,40.8382,-73.942,2,0.0
2018,2,NJTO,07974,40.7004,-74.4023,PAUP,19104,39.9597,-75.2024,1,0.0
2018,2,NVLV,89104,36.152,-115.1092,AZSJ,85013,33.5085,-112.0827,1,0.0
2018,2,NYAP,12203,42.7003,-73.8575,MAPB,02115,42.3427,-71.0922,1,0.0
2018,2,NYRT,11101,40.7446,-73.9345,MAPB,02115,42.3427,-71.0922,1,0.0
2018,2,NYRT,11101,40.7446,-73.9345,VAFH,22042,38.8635,-77.1939,2,0.0
2018,2,OHLB,44128,41.4416,-81.5486,MIUM,48109,42.2776,-83.7409,1,0.0
2018,2,OHLB,44128,41.4416,-81.5486,OHCC,44195,41.6857,-81.6728,3,0.0
2018,2,OHLP,43212,39.9874,-83.0456,PAPT,15213,40.444,-79.9552,1,0.0
2018,2,OHOV,45202,39.1072,-84.502,OHOU,43210,40.0028,-83.0164,2,0.0
2018,2,OHOV,45202,39.1072,-84.502,PAPT,15213,40.444,-79.9552,1,0.0
2018,2,OHOV,45202,39.1072,-84.502,TNVU,37212,36.1337,-86.8006,1,0.0
2018,2,ORUO,97201,45.5078,-122.6897,WAUW,98195,47.6564,-122.3048,1,0.0
2018,2,PADV,19123,39.966,-75.151,NYCP,10032,40.8382,-73.942,2,0.0
2018,2,PADV,19123,39.966,-75.151,NYMA,10467,40.8737,-73.8712,1,0.0
2018,2,PADV,19123,39.966,-75.151,OHCC,44195,41.6857,-81.6728,1,0.0
2018,2,PADV,19123,39.966,-75.151,PATU,19140,40.0118,-75.1456,3,0.0
2018,2,PADV,19123,39.966,-75.151,PAUP,19104,39.9597,-75.2024,1,0.0
2018,2,PATF,15238,40.5346,-79.8805,MDJH,21287,39.2975,-76.5927,1,1.0
2018,2,PATF,15238,40.5346,-79.8805,PAUP,19104,39.9597,-75.2024,2,1.0
2018,2,SCOP,29414,32.8215,-80.0568,FLFH,32803,28.5559,-81.3535,1,0.0
2018,2,SCOP,29414,32.8215,-80.0568,NCDU,27710,36.0512,-78.8577,3,0.0
2018,2,SCOP,29414,32.8215,-80.0568,PATU,19140,40.0118,-75.1456,3,0.0
2018,2,TNDS,37228,36.1901,-86.8053,MOBH,63110,38.6185,-90.2564,2,0.0
2018,2,TNMS,38018,35.1556,-89.7762,OHOU,43210,40.0028,-83.0164,1,0.0
2018,2,TXGC,77054,29.6852,-95.4017,AZUA,85719,32.2474,-110.9491,1,0.0
2018,2,TXGC,77054,29.6852,-95.4017,OKBC,73112,35.5184,-97.5746,1,0.0
2018,2,TXGC,77054,29.6852,-95.4017,TXHH,77030,29.7041,-95.401,1,0.0
2018,2,TXGC,77054,29.6852,-95.4017,TXHI,77030,29.7041,-95.401,1,0.0
2018,2,TXGC,77054,29.6852,-95.4017,TXMH,77030,29.7041,-95.401,3,0.0
2018,2,TXGC,77054,29.6852,-95.4017,TXSP,75390,32.7673,-96.7776,1,0.0
2018,2,TXSA,78229,29.5042,-98.5697,TXHI,77030,29.7041,-95.401,1,0.0
2018,2,TXSA,78229,29.5042,-98.5697,TXMH,77030,29.7041,-95.401,1,0.0
2018,2,TXSA,78229,29.5042,-98.5697,TXSP,75390,32.7673,-96.7776,1,0.0
2018,2,TXSB,75231,32.8756,-96.7495,TXTX,75246,32.7948,-96.7697,1,0.0
2018,2,UTOP,84107,40.6568,-111.8904,AZSJ,85013,33.5085,-112.0827,2,0.0
2018,2,UTOP,84107,40.6568,-111.8904,COUC,80045,39.7467,-104.8384,1,0.0
2018,2,VATB,23453,36.776,-76.0766,NCDU,27710,36.0512,-78.8577,1,0.0
2018,2,WALC,98006,47.5614,-122.1552,WAUW,98195,47.6564,-122.3048,1,0.0
2018,2,WIUW,53711,43.0356,-89.4526,ILNM,60611,41.8971,-87.6223,1,0.0
2018,3,ALOB,35233,33.5062,-86.8003,ALUA,35233,33.5062,-86.8003,2,1.0
2018,3,AROR,72205,34.751,-92.3455,OKBC,73112,35.5184,-97.5746,2,0.0
2018,3,AZOB,85281,33.4227,-111.9261,AZSJ,85013,33.5085,-112.0827,7,0.0
2018,3,AZOB,85281,33.4227,-111.9261,AZUA,85719,32.2474,-110.9491,1,0.0
2018,3,AZOB,85281,33.4227,-111.9261,CASD,92037,32.8455,-117.2521,1,0.0
2018,3,CADN,94583,37.7562,-121.9522,CASF,94143,37.7631,-122.4586,1,1.0
2018,3,CADN,94583,37.7562,-121.9522,CASU,94305,37.4236,-122.1619,1,1.0
2018,3,CAOP,91702,34.1248,-117.9031,AZUA,85719,32.2474,-110.9491,2,1.0
2018,3,CAOP,91702,34.1248,-117.9031,CACS,90048,34.0737,-118.372,1,1.0
2018,3,CAOP,91702,34.1248,-117.9031,CASU,94305,37.4236,-122.1619,1,1.0
2018,3,CAOP,91702,34.1248,-117.9031,CAUC,90095,33.7866,-118.2987,6,1.0
2018,3,CASD,92108,32.7783,-117.1335,CAUC,90095,33.7866,-118.2987,2,0.0
2018,3,CORS,80230,39.7218,-104.8951,COUC,80045,39.7467,-104.8384,1,1.0
2018,3,DCTC,22042,38.8635,-77.1939,FLUF,32610,29.6813,-82.3539,1,0.0
2018,3,DCTC,22042,38.8635,-77.1939,MDUM,21201,39.2946,-76.6252,1,0.0
2018,3,DCTC,22042,38.8635,-77.1939,NYMA,10467,40.8737,-73.8712,1,0.0
2018,3,DCTC,22042,38.8635,-77.1939,PAUP,19104,39.9597,-75.2024,2,0.0
2018,3,FLFH,32751,28.6255,-81.3646,FLSL,32224,30.3031,-81.4404,1,0.0
2018,3,FLMP,33136,25.7864,-80.2042,FLUF,32610,29.6813,-82.3539,1,0.0
2018,3,FLMP,33136,25.7864,-80.2042,OHCC,44195,41.6857,-81.6728,1,0.0
2018,3,FLUF,32605,29.6785,-82.3679,FLUF,32610,29.6813,-82.3539,1,0.0
2018,3,FLUF,32605,29.6785,-82.3679,KYUK,40536,38.0321,-84.5084,1,0.0
2018,3,FLWC,33619,27.9382,-82.3756,FLFH,32803,28.5559,-81.3535,1,0.0
2018,3,FLWC,33619,27.9382,-82.3756,FLSL,32224,30.3031,-81.4404,1,0.0
2018,3,FLWC,33619,27.9382,-82.3756,FLTG,33606,27.9475,-82.4584,2,0.0
2018,3,GALL,30071,33.9381,-84.1972,NCMH,27514,35.9203,-79.0372,1,0.0
